Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Investigating Injury Outcomes of Horse-and-Buggy Crashes in Rural Michigan by Mining Crash Reports Using NLP and CNN Algorithms","Horse-and-buggy crashes in rural Michigan are exacerbated by factors such as distracted motorists, nighttime visibility issues, and failure to yield, highlighting the need for comprehensive safety measures.","Baraah Qawasmeh, Jun-Seok Oh, Valerian Kwigizile",2024,2,"Horse-and-buggy transportation, vital for many rural communities and the Amish population, has been largely overlooked in safety research. This study examines the characteristics and injury severity of horse-and-buggy roadway crashes in Michigan’s rural areas. Detailed crash data are essential for safety studies, as crash scene descriptions are mainly found in narratives and diagrams. However, extracting and utilizing this information from traffic reports is challenging. This research tackles these challenges using image-processing and text-mining techniques to analyze crash diagrams and narratives. The study employs the AlexNet convolutional neural network (CNN) to identify and extract horse-and-buggy crashes, analyzing (2020–2023) Michigan UD-10 rural crash reports. Natural Language Processing (NLP) techniques also identified primary risk factors from crash narratives, analyzing single-word patterns (“unigrams”) and sequences of three consecutive words (“trigrams”). The findings emphasize the risks involved in horse-and-buggy interactions on rural roadways and highlight various contributing factors to the severity of these crashes, including distracted or careless actions by motorists, nighttime visibility issues, and failure to yield, especially by elderly drivers. This study suggests prioritizing horse-and-buggy riders in road safety and public health programs and recommends comprehensive measures that could significantly reduce crash incidence and severity, improving overall safety in Michigan’s rural areas, including better signage, driver education, and community outreach. Also, the study highlights the potential of advanced image-processing techniques in traffic safety research that could lead to more precise and actionable findings, enhancing road safety for all users.","","Safety","2","10.3390/safety11010001","https://consensus.app/papers/investigating-injury-outcomes-of-horseandbuggy-crashes-qawasmeh-oh/1faa203846f9589896e84b03d26190df/"
"Exploring Traffic Crash Narratives in Jordan Using Text Mining Analytics","Text mining analytics effectively explores traffic crash narratives in Jordan, highlighting the need for a balanced approach to road safety, emphasizing driver education and awareness of animal-related incidents.","Shadi Jaradat, Taqwa I. Alhadidi, Huthaifa I. Ashqar, Ahmed Hossain, Mohammed Elhenawy",2024,16,"This study explores traffic crash narratives in an attempt to inform and enhance effective traffic safety policies using text-mining analytics. Text mining techniques are employed to unravel key themes and trends within the narratives, aiming to provide a deeper understanding of the factors contributing to traffic crashes. This study collected crash data from five major freeways in Jordan that cover narratives of 7,587 records from 2018-2022. An unsupervised learning method was adopted to learn the pattern from crash data. Various text mining techniques, such as topic modeling, keyword extraction, and Word Co-Occurrence Network, were also used to reveal the co-occurrence of crash patterns. Results show that text mining analytics is a promising method and underscore the multifactorial nature of traffic crashes, including intertwining human decisions and vehicular conditions. The recurrent themes across all analyses highlight the need for a balanced approach to road safety, merging both proactive and reactive measures. Emphasis on driver education and awareness around animal-related incidents is paramount.","","2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI)","","10.1109/icmi60790.2024.10586010","https://consensus.app/papers/exploring-traffic-crash-narratives-in-jordan-using-text-jaradat-alhadidi/678c156f6b6f515ea8f01794f8d039f4/"
"Completeness of police reporting of traffic crashes in Nepal: Evaluation using a community crash recording system","Local Record Keepers' recording of road traffic crashes in Nepal provides a more complete record than police data, highlighting the underreporting of minor injuries, property damage, and single-vehicle crashes.","Anish R. Khadka, J. Parkin, P. Pilkington, S. Joshi, J. Mytton",2022,11,"Accurate road crash reporting is essential for evaluating road safety interventions and plans. Under-reporting of road traffic crashes, injuries, and fatalities in police records has been widely described. The aim of this study was to apply and evaluate a community crash recording system, and assess the quality of the data in comparison with traffic police data in Nepal. The crash data collection methodology involved recruiting Local Record Keepers working and living at locations known to be at a high risk of crashes. Six shopkeepers were recruited at three crash locations and trained to complete collision incident forms for crashes occurring over one year on the section of road visible from their premises. Manual traffic volume and pedestrian counts, and spot speed surveys were conducted. Data were compared with District police records for the same period and locations. Over 12 months, 110 crashes were recorded by the Local Record Keepers. Of these, 70 resulted in 145 injuries (5 fatalities, 62 severe, and 78 minor injuries), while 40 resulted only in property damage. Comparable police data recorded 23 crashes, of which 18 crashes resulted in 27 injuries (8 fatalities, 13 serious, and 6 minor injuries), and 5 crashes in property damage only. The difference in recording of fatal and serious injuries was statistically significant (χ(1) = 19.94, p < 0.001). The police reporting rate was highest for fatalities (62.5%) but only 11.6% and 7.1% for property damage cases and minor injuries respectively, and 3.8% for single-vehicle crashes. Compared to the Local Record Keeper data, the overall police crash reporting rate was 19.7%. Local Record Keepers' recording of road traffic crashes and casualties is feasible and provides a more complete record than routinely collected police data. The low reporting rate in the police records of minor injury, property damage, and single-vehicle crashes suggest significant underestimation and bias in the reporting of the actual burden of road traffic crashes. Local Record Keeper recording is a viable method for validating police reports.","non-rct observational study","Traffic Injury Prevention","1","10.1080/15389588.2021.2012766","https://consensus.app/papers/completeness-of-police-reporting-of-traffic-crashes-in-khadka-parkin/3ae32d6f8f4358deab9cfedd8f2a7fc1/"
"A framework based on Natural Language Processing and Machine Learning for the classification of the severity of road accidents from reports","Combining HDP topic modeling and Random Forest classification provides the best trade-off between accuracy and explainability in analyzing road accident reports.","Dario Valcamonico, P. Baraldi, Francesco Amigoni, E. Zio",2022,10,"Road safety analysis is typically performed by domain experts on the basis of the information contained in accident reports. The main challenges are the difficulty of considering a large number of reports in textual form and the subjectivity of the expert judgments contained in reports. This work develops a framework based on the combination of Natural Language Processing (NLP) and Machine Learning (ML) for the automatic classification of accidents with the final aim of assisting experts in performing road safety analyses. Two different models for the representation of the textual reports (Hierarchical Dirichlet Processes (HDPs) and Doc2vec) and three ML-based classifiers (Artificial Neural Networks (ANNs), Decision Trees (DTs) and Random Forests (RFs)) are compared. The framework is applied to a repository of road accident reports provided by the US National Highway Traffic Safety Administration. The best trade-off between accuracy of the classification and explainability of the obtained results is achieved by combining HDP topic modeling and RF classification.","","Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability","2","10.1177/1748006x221140196","https://consensus.app/papers/a-framework-based-on-natural-language-processing-and-valcamonico-baraldi/f748d111a20e5f5b9ac0369a827f5aec/"
"A new methodology for road crash data collection in Bangladesh using local record keepers","The Local Record Keeper (LRK) methodology effectively collects more road crash data than police, providing valuable insights for designing effective speed management programs in low- and middle-income countries.","M. Thierry, Jasper M. Vet, Kazi Burhan Uddin, F. Wegman",2023,2,"The lack of good road crash data is a serious obstacle to analysing road safety problems in Low- and Middle-Income countries (LMICs) and this complicates, for example, the sound assessment of road safety interventions. Police crash reports are the main source of crash data, but often have significant limitations. This paper describes a complementary new methodology for road crash data collection called the Local Record Keeper (LRK) methodology. This methodology deploys trained people from the local community and a new supervisory and quality control process to record road crashes. A comprehensive description of the LRK methodology is provided. The LRKs were able to collect most of the data in the crash forms without difficulty. The LRK methodology recorded significantly more crash data than the Police and provided details on crash location and road user involvement that were important input for the design of a speed management programme on a rural highway that traverses three villages in Bangladesh. A 19.7% reduction of the mean speed caused by the speed management programme was accompanied by a recorded reduction in the LRK data of 66.7% in the number of fatalities, and 59.4% in the number of serious injuries. These recorded reductions as a result of measured speed reductions were consistent with what has been reported in the literature. It is recommended to consider the LRK methodology as a complementary source of crash data in LMICs.","","Journal of Road Safety","3","10.33492/jrs-d-21-00027","https://consensus.app/papers/a-new-methodology-for-road-crash-data-collection-in-thierry-vet/ada46f94443959bbbc91a93abcce2ccc/"
"Spatial and temporal analysis of road traffic crashes and ambulance responses in Lagos state, Nigeria","Geospatial analysis of past road crashes in Lagos state identified operational constraints and factors associated with delayed emergency responses, which can inform programmatic interventions to improve trauma care outcomes.","A. O. Odusola, D. Jeong, Chenchita Malolan, Dohyeong Kim, Chinmayee Venkatraman, Olusegun Kola-Korolo, Olajide Idris, O. Olaomi, F. Nwariaku",2023,8,"Sub-Saharan African countries, Nigeria inclusive, are constrained by grossly limited access to quality pre-hospital trauma care services (PTCS). Findings from pragmatic approaches that explore spatial and temporal trends of past road crashes can inform novel interventions. To improve access to PTCS and reduce burden of road traffic injuries we explored geospatial trends of past emergency responses to road traffic crashes (RTCs) by Lagos State Ambulance Service (LASAMBUS), assessed efficiency of responses, and outcomes of interventions by local government areas (LGAs) of crash. Using descriptive cross-sectional design and REDcap we explored pre-hospital care data of 1220 crash victims documented on LASAMBUS intervention forms from December 2017 to May 2018. We analyzed trends in days and times of calls, demographics of victims, locations of crashes and causes of delayed emergency responses. Assisted with STATA 16 and ArcGIS pro we conducted descriptive statistics and mapping of crash metrics including spatial and temporal relationships between times of the day, seasons of year, and crash LGA population density versus RTCs incidence. Descriptive analysis and mapping were used to assess relationships between 'Causes of Delayed response' and respective crash LGAs, and between Response Times and crash LGAs. Incidences of RTCs were highest across peak commuting hours (07:00-12:59 and 13:00-18:59), rainy season and harmattan (foggy) months, and densely populated LGAs. Five urban LGAs accounted for over half of RTCs distributions: Eti-Osa (14.7%), Ikeja (14.4%), Kosofe (9.9%), Ikorodu (9.7%), and Alimosho (6.6%). On intervention forms with a Cause of Delay, Traffic Congestion (60%), and Poor Description (17.8%), had associations with LGA distribution. Two densely populated urban LGAs, Agege and Apapa were significantly associated with Traffic Congestion as a Cause of Delay. LASAMBUS was able to address crash in only 502 (36.8%) of the 1220 interventions. Other notable outcomes include: No Crash (false calls) (26.6%), and Crash Already Addressed (22.17%). Geospatial analysis of past road crashes in Lagos state offered key insights into spatial and temporal trends of RTCs across LGAs, and identified operational constraints of state-organized PTCS and factors associated with delayed emergency responses. Findings can inform programmatic interventions to improve trauma care outcomes.","non-rct observational study","BMC Public Health","1","10.1186/s12889-023-16996-8","https://consensus.app/papers/spatial-and-temporal-analysis-of-road-traffic-crashes-and-odusola-jeong/029d3945afc0561fbf1aa854741108b7/"
"Cybercrime threat intelligence: A systematic multi-vocal literature review","This review identifies gaps in cybercrime detection techniques and threat intelligence, highlighting the need for improved risk assessment techniques, website features, and enhanced anonymity for law enforcement agencies.","Giuseppe Cascavilla, D. Tamburri, W. Heuvel",2021,84,"","systematic review","Comput. Secur.","1","10.1016/j.cose.2021.102258","https://consensus.app/papers/cybercrime-threat-intelligence-a-systematic-multivocal-cascavilla-tamburri/cfb8a44e05a950198b595f2354d922fb/"
"Crash severity analysis and risk factors identification based on an alternate data source: a case study of developing country","This study identified nine out of fourteen contributing factors in Bangladesh road crashes using a predictive machine learning model, which may contribute to improving traffic safety in the country.","Hanif Bhuiyan, Jinat Ara, Khan Md Hasib, Md Imran Hossain Sourav, Faria Benta Karim, Cecilia Sik-Lányi, Guido Governatori, A. Rakotonirainy, S. Yasmin",2022,30,"","non-rct observational study","Scientific Reports","1","10.1038/s41598-022-25361-5","https://consensus.app/papers/crash-severity-analysis-and-risk-factors-identification-bhuiyan-ara/a4bd0d1c0c075c5dbfe6191d535d5a23/"
"PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization","PEGASUS, a Transformer-based model pre-trained with extracted gap-sentences, achieves state-of-the-art performance on diverse text summarization tasks, outperforming previous state-of-the-art results on low-resource datasets.","Jingqing Zhang, Yao Zhao, Mohammad Saleh, Peter J. Liu",2019,2308,"Recent work pre-training Transformers with self-supervised objectives on large text corpora has shown great success when fine-tuned on downstream NLP tasks including text summarization. However, pre-training objectives tailored for abstractive text summarization have not been explored. Furthermore there is a lack of systematic evaluation across diverse domains. In this work, we propose pre-training large Transformer-based encoder-decoder models on massive text corpora with a new self-supervised objective. In PEGASUS, important sentences are removed/masked from an input document and are generated together as one output sequence from the remaining sentences, similar to an extractive summary. We evaluated our best PEGASUS model on 12 downstream summarization tasks spanning news, science, stories, instructions, emails, patents, and legislative bills. Experiments demonstrate it achieves state-of-the-art performance on all 12 downstream datasets measured by ROUGE scores. Our model also shows surprising performance on low-resource summarization, surpassing previous state-of-the-art results on 6 datasets with only 1000 examples. Finally we validated our results using human evaluation and show that our model summaries achieve human performance on multiple datasets.","","ArXiv","","","https://consensus.app/papers/pegasus-pretraining-with-extracted-gapsentences-for-zhang-zhao/aa3d1cfd99c155958e2ac92c120b2ee3/"
"Trend analysis and fatality causes in Kenyan roads: A review of road traffic accident data between 2015 and 2020","Kenyan road traffic accidents have increased by 26% and 46.5% from 2015 to 2020, with preventable driver errors being the leading cause of fatalities.","Joseph K. Muguro, M. Sasaki, Kojiro Matsushita, Waweru Njeri",2020,20,"Abstract With increasing population and motorization, Kenya as well as other African countries are faced with a tragic road traffic accidents (RTA). This paper looks at 5-year (2015–2020) data downloaded from National Transport and Safety Authority (NTSA) website, to identify trends and review progress of the traffic accidents in the country. The objective is to assess the prevalence of accidents within affected groups and location to identify trends and generalized causative agency from the reported data. From literature review, research activity focused on RTA in the country is minimal compared to the social significance accidents poses. The data were extracted and classified using Latent Dirichlet Allocation, a machine learning algorithm modelled in Matlab to group reported accident briefs into general categories/topic which are closely related. Four categories were identified as leading causes of fatality in the country: Knocking down victims, hit-and-run, losing control and head on collision. The identified causes point to preventable driver’s errors which agrees with other researchers. From trend analysis, fatalities and injuries have increased by 26% and 46.5%, respectively since January 2015 to January 2020. This paper found that injuries in vulnerable road users: pedestrians, pillion passengers and motorcyclist, has seen a foldfold increment compared to 2015 data. From the discussion, urgent fine-tuning of policing to protect vulnerable road user as well as curb the overly decried driver behavior is needed. The paper recommends fine-tuning of data collection, capturing details of accident that will be useful in modeling and data analysis for future planning.","literature review","Cogent Engineering","2","10.1080/23311916.2020.1797981","https://consensus.app/papers/trend-analysis-and-fatality-causes-in-kenyan-roads-a-review-muguro-sasaki/2b97a83cb61553779f0ee8792560d5f6/"
"Examining Car Accident Prediction Techniques and Road Traffic Congestion: A Comparative Analysis of Road Safety and Prevention of World Challenges in Low-Income and High-Income Countries","Machine learning and spatial analysis techniques can effectively predict car accidents and reduce traffic congestion, especially in low-income countries with higher fatality rates.","Yetay Berhanu, Esayas Alemayehu, D. Schröder",2023,67,"Road accidents are a significant negative outcome of transportation systems, causing injuries, fatalities, traffic congestion, and economic losses. As cities expand and the number of vehicles on the road increases, traffic accidents (TAs) have become a significant problem. Studies have shown that urban development plays a more significant role in transportation safety than previously thought. Low-income countries have higher fatality rates than high-income countries, according to the Permanent International Association of Road Congress (PIARC) and the World Health Organization (WHO). Predicting and preventing the occurrence of accidents and congestion is necessary worldwide, especially in developing countries where fatality rates are higher. The objective of this study is to examine and make a comparative analysis in low-income and high-income countries of the existing literature on the global challenge of car accidents and use its prediction techniques to enhance road safety and reduce traffic congestion. The study evaluates various approaches such as logistic regression, decision tree, random forest, deep neural network, support vector machine, random forest, K-nearest neighbors, Naïve Bayes, empirical Bayes, geospatial analysis methods, and UIMA, NSGA-II, and MOPS algorithms. The research identifies current challenges, prevention ideas, and future directions for preventing accidents and congestion on the road network. Integrating GIS-based spatial statistical methods and temporal data and utilizing advanced optimization algorithms and machine learning methods can result in accurate prediction models that can help identify accident hotspots and reduce congestions and enhance traffic safety and mitigate their occurrence. Effectively preventing urban traffic congestion requires the integration of spatial data into precise accident prediction models. By employing spatial analysis, road safety planning can be enhanced, high-risk areas can be identified, interventions can be evaluated, and resources can be optimally allocated to facilitate effective road safety measures and decision-making, especially in settings with limited resources. Therefore, it is crucial to consider ML and spatial analysis techniques and advanced optimization algorithms to enhance traffic flow control, in road safety research and transport planning efforts.","","Journal of Advanced Transportation","2","10.1155/2023/6643412","https://consensus.app/papers/examining-car-accident-prediction-techniques-and-road-berhanu-alemayehu/40f8fe83722157dcbc924d40295b5fa1/"
"Improving knowledge of cyclist crashes based on hospital data including crash descriptions from open text fields.","Hospital data on bicycle crashes provides detailed information on crash factors not available in police records, aiding in bicycle crash prevention efforts.","M. Møller, K. Janstrup, Ninette Pilegaard",2020,24,"","non-rct observational study","Journal of safety research","1","10.1016/j.jsr.2020.11.004","https://consensus.app/papers/improving-knowledge-of-cyclist-crashes-based-on-hospital-m%C3%B8ller-janstrup/0832ef718e8c533ea368d551d9107d5c/"
